2025-12-10 21:46:28: Server: SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.14
2025-12-10 21:46:28: Server KEXes: sntrup761x25519-sha512@openssh.com,curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group-exchange-sha256,diffie-hellman-group16-sha512,diffie-hellman-group18-sha512,diffie-hellman-group14-sha256,ext-info-s,kex-strict-s-v00@openssh.com
2025-12-10 21:46:28: Server Host Keys: rsa-sha2-512,rsa-sha2-256,ecdsa-sha2-nistp256,ssh-ed25519
2025-12-10 21:46:28: Chosen Host Key: ssh-ed25519
2025-12-10 21:46:28: Ciphers: chacha20-poly1305@openssh.com,aes128-ctr,aes192-ctr,aes256-ctr,aes128-gcm@openssh.com,aes256-gcm@openssh.com
2025-12-10 21:46:28: MACs: umac-64-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha1-etm@openssh.com,umac-64@openssh.com,umac-128@openssh.com,hmac-sha2-256,hmac-sha2-512,hmac-sha1
2025-12-10 21:46:28: Auth: start: publickey
2025-12-10 21:46:28: Auth: publickey: no keys available
2025-12-10 21:46:28: Auth: start: password
2025-12-10 21:46:30: -- Analysis Started by On File Change, After Delay
2025-12-10 21:46:30: /.git: Conflict: File Modified on Both Sides
2025-12-10 21:46:30: /.git/index: L:TimeSize<>; Conflict: File Modified on Both Sides
2025-12-10 21:46:30: /.git/objects: Conflict: File Modified on Both Sides
2025-12-10 21:46:30: /.git/objects/01: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/26: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/27: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/28: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/29: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/2a: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/2b: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/2d: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/2e: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/2f: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/30: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/31: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/32: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/33: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/34: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/35: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/39: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/3a: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/3b: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/3c: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/3d: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/3e: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/3f: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/40: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/41: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/42: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/45: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/46: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/49: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/4a: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/4b: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/4c: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/4d: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/4e: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/50: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/51: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/53: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/54: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/56: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/57: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/5a: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/5b: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/5c: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/5d: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/5e: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/60: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/62: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/68: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/69: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/6b: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/6c: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/6d: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/6f: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/71: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/72: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/73: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/74: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/75: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/76: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/78: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/7a: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/7b: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/7c: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/7e: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/7f: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/84: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/86: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/87: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/89: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/8a: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/8b: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/8c: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/8d: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/8f: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/90: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/91: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/93: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/94: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/95: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/96: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/97: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/99: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/9b: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/9c: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/9e: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/9f: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/a0: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/a3: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/a4: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/ab: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/ad: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/ae: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/af: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/b0: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/b1: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/b2: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/b3: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/b4: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/b6: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/b7: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/ba: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/bc: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/be: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/bf: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/c0: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/c3: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/cb: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/cd: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/d0: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/d1: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/d2: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/d3: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/d4: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/d6: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/d7: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/d9: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/db: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/dc: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/df: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/e1: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/e2: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/e3: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/e6: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/e8: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/e9: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/ea: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/eb: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/ef: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/f0: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/f1: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/f2: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/f3: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/f6: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/f7: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/fa: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/fb: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/fd: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/fe: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/ff: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/sourcetreeconfig.json: L:TimeSize<>; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/FETCH_HEAD: Parent folder conflict propagated down to children
2025-12-10 21:46:31: /.git/objects/01/456f505437e920fe6a3a2a61fb4c33a523def9: Parent folder conflict propagated down to children
2025-12-10 21:46:31: /.git/objects/02/15de3c9bbeea4e57593739971e8abfb0274dc5: Parent folder conflict propagated down to children
2025-12-10 21:46:31: /.git/objects/02/a4484cbd68d4687a86eabe0a41fcc2272d486b: Parent folder conflict propagated down to children
2025-12-10 21:46:31: /.git/objects/02/e8cd61469c36cd21ca9e9b225236106b40d4ea: Parent folder conflict propagated down to children
2025-12-10 21:46:31: /.git/objects/03/b739c81618a14404ecaf0564f53308b471c2cc: Parent folder conflict propagated down to children
2025-12-10 21:46:31: /.git/objects/04/01f653e4b3f10b09981ca3a68d3cdda9996e70: Parent folder conflict propagated down to children
2025-12-10 21:46:31: /.git/objects/04/c28ba5dbed7000ba582ac3c8ea749f973fb54e: Parent folder conflict propagated down to children
2025-12-10 21:46:31: /.git/objects/06/a85461b7b372976de474b06a2a1bafd7ba1509: Parent folder conflict propagated down to children
2025-12-10 21:46:31: /.git/objects/08/52b606ade6569d9161653d1c3d154012c27ec9: Parent folder conflict propagated down to children
2025-12-10 21:46:31: /.git/objects/09/36a66f232cdcc6174cfa541d58b532397ead1e: Parent folder conflict propagated down to children
2025-12-10 21:46:31: /.git/objects/0f/cef2a0a493e78199459d8d57bcc8749e8a6706: Parent folder conflict propagated down to children
2025-12-10 21:46:31: /.git/objects/0f/f90de1b458dce2aa3ae576837e49a99de2f88f: Parent folder conflict propagated down to children
2025-12-10 21:46:31: /.git/objects/10/123ce1fb3fef053c2e4ad44a883c25982dfe5f: Parent folder conflict propagated down to children
2025-12-10 21:46:31: /.git/objects/10/cf17da65acc753ba3abf64d80fa01c9c3ad7f8: Parent folder conflict propagated down to children
2025-12-10 21:46:31: /.git/objects/13/6e65893f0e0d3b0f22316c0da086b12346ba9f: Parent folder conflict propagated down to children
2025-12-10 21:46:31: /.git/objects/13/743691d4d566f8d47a5ab127b50999fd1e2719: Parent folder conflict propagated down to children
2025-12-10 21:46:31: /.git/objects/13/d686db56e373cdee0299cb0bc07adedaa92df1: Parent folder conflict propagated down to children
2025-12-10 21:46:31: /.git/objects/13/d73b05b21dcea302348a650f74aca8bfe3d95c: Parent folder conflict propagated down to children
2025-12-10 21:46:31: /.git/objects/16/230bfb17856d6f76414b50fa83de5a7e954401: Parent folder conflict propagated down to children
2025-12-10 21:46:31: /.git/objects/16/2f36aea1cf8cb7842c5348481e843281fd6a4a: Parent folder conflict propagated down to children
2025-12-10 21:46:31: /.git/objects/16/bb6cad419849add221091033f8287675f78b82: Parent folder conflict propagated down to children
2025-12-10 21:46:31: /.git/objects/19/a2b1b39d383d2dd2747e7dd0caca0a0627161e: Parent folder conflict propagated down to children
2025-12-10 21:46:31: /.git/objects/1b/75e9b51d8ec16653b1168ca298c3998a862f23: Parent folder conflict propagated down to children
